"templateName","database/templates/skilltree.tpl",,
"ActorName","OffensiveSkillTree",,
"Class","SkillTree",,
"FileDescription",,,
"skillName1","records/skills/playerclass04/warfaremastery.dbr",,
"skillLevel1",0,,
"skillName2","records/skills/playerclass04/weapontraining.dbr",245,80
"skillLevel2",0,,
"skillName3","records/skills/playerclass04/warwind.dbr",405,360
"skillLevel3",0,,
"skillName4","records/skills/playerclass04/warwind_lacerate.dbr",565,360
"skillLevel4",0,,
"skillName5","records/skills/playerclass04/dodge attack.dbr",325,220
"skillLevel5",0,,
"skillName6","records/skills/playerclass04/dualweapontraining.dbr",325,80
"skillLevel6",0,,
"skillName7","records/skills/playerclass04/dualwieldtechnique_jumpslash.dbr",405,80
"skillLevel7",0,,
"skillName8","records/skills/playerclass04/dualwieldtechnique_crosscut.dbr",485,80
"skillLevel8",0,,
"skillName9","records/skills/playerclass04/dualwieldtechnique_tumult.dbr",645,80
"skillLevel9",0,,
"skillName10","records/skills/playerclass04/onslaught.dbr",245,290
"skillLevel10",0,,
"skillName11","records/skills/playerclass04/onslaught_ignorepain.dbr",325,290
"skillLevel11",0,,
"skillName12","records/skills/playerclass04/onslaught_hamstring.dbr",485,290
"skillLevel12",0,,
"skillName13","records/skills/playerclass04/onslaught_ardor.dbr",645,290
"skillLevel13",0,,
"skillName14","records/skills/playerclass04/battlerage.dbr",245,150
"skillLevel14",0,,
"skillName15","records/skills/playerclass04/battlerage_crushingblow.dbr",405,150
"skillLevel15",0,,
"skillName16","records/skills/playerclass04/battlerage_counterattack.dbr",565,150
"skillLevel16",0,,
"skillName17","records/skills/playerclass04/warhorn.dbr",325,430
"skillLevel17",0,,
"skillName18","records/skills/playerclass04/warhorn_doomhorn.dbr",565,430
"skillLevel18",0,,
"skillName19","records/skills/playerclass04/ancestralhorn.dbr",645,430
"skillLevel19",0,,
"skillName20","records/skills/playerclass04/battlestandard.dbr",405,220
"skillLevel20",0,,
"skillName21","records/skills/playerclass04/battlestandard_petmodifier_triumph.dbr",565,220
"skillLevel21",0,,
"skillName22",,,
"skillLevel22",0,,
"skillName23",,,
"skillLevel23",0,,
"skillName24",,,
"skillLevel24",0,,
"skillName25",,,
"skillLevel25",0,,
"skillName26",,,
"skillLevel26",,,
"skillName27",,,
"skillLevel27",,,
"skillName28",,,
"skillLevel28",,,
"skillName29",,,
"skillLevel29",,,
"skillName30",,,
"skillLevel30",,,
"skillName31",,,
"skillLevel31",,,
"skillName32",,,
"skillLevel32",,,
"skillName33",,,
"skillLevel33",,,
"skillName34",,,
"skillLevel34",,,
"skillName35",,,
"skillLevel35",,,
